category,theoryTitle,theoryContent,theoryStructure,theoryHint,questionType,questionText,optionA,optionB,optionC,optionD,correctAnswer
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,I ______ never seen such a beautiful flower.,have,has,am,do,have
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,She has ______ finished her dinner.,just,yet,ever,since,just
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,We have not met him ______.,already,yet,just,since,yet
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,How long ______ you worked here?,have,has,do,did,have
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,John ______ a new car recently.,have bought,has bought,buy,bought,has bought
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,I have lived here ______ 5 years.,since,for,in,ago,for
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,She has worked at the bank ______ 2015.,since,for,in,on,since
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,They ______ not arrived yet.,have,has,do,are,have
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,Has she ______ been to Paris?,ever,never,just,yet,ever
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,I have ______ finished my report.,already,yet,since,for,already
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,The train ______ just left.,have,has,is,did,has
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,We ______ this movie twice.,have seen,has seen,saw,see,have seen
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,He ______ has not called me back.,still,yet,already,just,still
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,Have you ______ your homework?,do,did,done,doing,done
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,She has ______ a lot of books.,write,wrote,written,writing,written
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,They have ______ English for 3 years.,study,studied,studying,studies,studied
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,I have not ______ to him recently.,speak,spoke,spoken,speaking,spoken
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,The company has ______ rapidly this year.,grow,grew,grown,growing,grown
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,He has ______ his leg.,break,broke,broken,breaking,broken
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,We have ______ the tickets for the concert.,buy,bought,buyed,buying,bought
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,She has ______ a teacher since 2020.,be,was,been,being,been
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,I have ______ my wallet at home.,leave,left,leaved,leaving,left
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,They have ______ the game.,win,won,winned,winning,won
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,He has ______ all the milk.,drink,drank,drunk,drinking,drunk
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,The kids have ______ asleep.,fall,fell,fallen,falling,fallen
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,I ______ all day.,have been studying,has been studying,am studying,study,have been studying
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,She ______ for him for two hours.,has been waiting,have been waiting,is waiting,waits,has been waiting
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,They ______ football since 3 PM.,have been playing,has been playing,are playing,play,have been playing
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,It ______ all night.,has been raining,have been raining,is raining,rains,has been raining
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,We ______ TV for three hours.,have been watching,has been watching,are watching,watch,have been watching
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,He ______ in this company since 2015.,has been working,have been working,is working,works,has been working
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,You ______ too much coffee lately.,have been drinking,has been drinking,are drinking,drink,have been drinking
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,How long ______ English?,have you been learning,has you been learning,are you learning,do you learn,have you been learning
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,The baby ______ for an hour.,has been crying,have been crying,is crying,cries,has been crying
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,I ______ to call you all morning.,have been trying,has been trying,am trying,try,have been trying
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,She ______ well recently.,has not been feeling,have not been feeling,is not feeling,does not feel,has not been feeling
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,They ______ this project for months.,have been discussing,has been discussing,are discussing,discuss,have been discussing
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,My eyes are tired because I ______ on the computer.,have been working,has been working,am working,work,have been working
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,He ______ Spanish for five years.,has been studying,have been studying,is studying,studies,has been studying
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,We ______ about you.,have been talking,has been talking,are talking,talk,have been talking
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,The dog ______ loudly since morning.,has been barking,have been barking,is barking,barks,has been barking
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,You look exhausted! ______ you ______ hard?,Have - been working,Has - been working,Are - working,Do - work,Have - been working
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,I ______ for my keys all morning.,have been looking,has been looking,am looking,look,have been looking
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,She ______ the house all day.,has been cleaning,have been cleaning,is cleaning,cleans,has been cleaning
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,They ______ since 8 o'clock.,have been traveling,has been traveling,are traveling,travel,have been traveling
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,It ______ snowing all week.,has been,have been,is,was,has been
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,How long ______ for me?,have you been waiting,has you been waiting,are you waiting,do you wait,have you been waiting
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,I ______ to fix this car since yesterday.,have been trying,has been trying,am trying,try,have been trying
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,He is out of breath because he ______.,has been running,have been running,is running,runs,has been running
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,We ______ to the radio all evening.,have been listening,has been listening,are listening,listen,have been listening
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,She ______ in that chair for three hours.,has been sitting,have been sitting,is sitting,sits,has been sitting
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,My friends ______ for the exam all month.,have been preparing,has been preparing,are preparing,prepare,have been preparing
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,I ______ to that new song on repeat.,have been listening,has been listening,am listening,listen,have been listening
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,He ______ books all his life.,has been collecting,have been collecting,is collecting,collects,has been collecting
Present Perfect Continuous,Thì Hiện tại hoàn thành tiếp diễn (Present Perfect Continuous),Dùng để nhấn mạnh quá trình hoặc khoảng thời gian của một hành động bắt đầu trong quá khứ và vẫn đang tiếp diễn ở hiện tại (hoặc vừa kết thúc nhưng để lại dấu hiệu).,S + have/has + been + V-ing + ...,all day; all week; for; since; recently; lately; how long,Điền từ,The kids ______ in the garden since morning.,have been playing,has been playing,are playing,play,have been playing
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,At 8 PM tomorrow I ______ dinner.,will be eating,will eat,am eating,eat,will be eating
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,This time next week we ______ on the beach.,will be relaxing,will relax,are relaxing,relax,will be relaxing
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,He ______ to London at this time tomorrow.,will be flying,will fly,is flying,flies,will be flying
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,Please don't call me at 9 AM because I ______ in a meeting.,will be sitting,will sit,sit,am sitting,will be sitting
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,They ______ football at 5 PM tomorrow.,will be playing,play,will play,are playing,will be playing
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,What ______ at 10 PM tonight?,will you be doing,will you do,do you do,are you doing,will you be doing
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,At this time next year she ______ in Paris.,will be studying,will study,studies,is studying,will be studying
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,I ______ for my exam all day tomorrow.,will be preparing,prepare,will prepare,am preparing,will be preparing
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,Tomorrow morning we ______ to the new house.,will be moving,will move,move,are moving,will be moving
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,At 7 o'clock tomorrow they ______ the new bridge.,will be crossing,will cross,cross,are crossing,will be crossing
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,She ______ TV when I arrive tonight.,will be watching,will watch,watches,is watching,will be watching
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,We ______ our anniversary at this time next month.,will be celebrating,will celebrate,celebrate,are celebrating,will be celebrating
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,By this time tomorrow the snow ______ heavily.,will be falling,will fall,falls,is falling,will be falling
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,I ______ my car at 3 PM tomorrow.,will be washing,will wash,wash,am washing,will be washing
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,They ______ for us when the train arrives.,will be waiting,will wait,wait,are waiting,will be waiting
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,At midnight we ______ in our beds.,will be sleeping,will sleep,sleep,are sleeping,will be sleeping
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,He ______ the piano at the concert tomorrow evening.,will be playing,will play,plays,is playing,will be playing
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,I ______ a bath when you call me later.,will be taking,will take,take,am taking,will be taking
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,Next Friday at 10 AM I ______ a presentation.,will be giving,will give,give,am giving,will be giving
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,They ______ the house all day next Sunday.,will be cleaning,will clean,clean,are cleaning,will be cleaning
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,At 6 PM tomorrow the sun ______ down.,will be going,will go,goes,is going,will be going
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,We ______ coffee at this time tomorrow.,will be drinking,will drink,drink,are drinking,will be drinking
Future Continuous,Thì Tương lai tiếp diễn (Future Continuous),Dùng để diễn tả một hành động đang diễn ra tại một thời điểm xác định trong tương lai.,S + will + be + V-ing + ...,at this time tomorrow; at 8 PM next Monday; in the future,Điền từ,She ______ her homework at 8 o'clock tonight.,will be doing,will do,does,is doing,will be doing
