Word,Definition,Vietnamese Translation,Example Sentence,Part of Speech,Related Forms,Synonyms,Antonyms,Collocations
condition,"The state of something with regard to its appearance, quality, or working order",tình trạng,The car is in good condition.,"noun, verb",conditions,"state, shape","disrepair, neglect","working condition, poor condition"
conduct,Organize and carry out,chỉ đạo,They conduct business in an ethical manner.,"verb, noun","conducts, conducting, conducted","manage, direct","mismanage, neglect","conduct research, conduct an interview"
conference,A formal meeting for discussion,hội nghị,She attended a conference on climate change.,"noun, verb",conferences,"meeting, seminar","conversation, chat","international conference, press conference"
confidence,The feeling or belief that one can rely on someone or something; firm trust,sự tự tin,He has confidence in his abilities.,noun,confidences,"trust, belief","doubt, mistrust","gain confidence, lose confidence"
confident,Feeling or showing confidence in oneself; self-assured,tự tin,She is confident in her decision.,adjective,confidently,"self-assured, assured","insecure, unsure","confident smile, confident attitude"
confine,"Keep or restrict someone or something within certain limits of (space, scope, quantity, or time)",hạn chế,They confined the dog to the backyard.,"verb, noun","confines, confining, confined","restrict, limit","free, release","confine to a place, confine within limits"
confined,Restricted in area or volume; cramped,hạn chế,The patients are confined to their rooms.,adjective,confinedly,"restricted, limited","unconfined, free","confined space, confined area"
confirm,"Establish the truth or correctness of (something previously believed, suspected, or feared to be the case)",xác nhận,Can you confirm your attendance?,"verb, noun","confirms, confirming, confirmed","verify, validate","deny, refute","confirm a reservation, confirm details"
conflict,"A serious disagreement or argument, typically a protracted one",xung đột,The conflict between the two countries has escalated.,"noun, verb","conflicts, conflicting, conflicted","dispute, disagreement","agreement, harmony","armed conflict, conflict resolution"
confront,Face up to and deal with (a problem or difficult situation),đối đầu,She had to confront her fears.,"verb, noun","confronts, confronting, confronted","face, address","avoid, evade","confront a challenge, confront directly"
confuse,Cause (someone) to become bewildered or perplexed,bối rối,The instructions confused me.,"verb, noun","confuses, confusing, confused","bewilder, perplex","clarify, explain","confuse the issue, confuse easily"
confused,Unable to think clearly; bewildered,bối rối,He looked confused when I asked him the question.,adjective,"confuses, confusing, confused","bewildered, perplexed","clear, certain","look confused, seem confused"
confusing,Bewildering or perplexing,khó hiểu,The directions were confusing.,adjective,"confuses, confusing, confused","perplexing, baffling","clear, straightforward","confusing instructions, confusing message"
confusion,Lack of understanding; uncertainty,lú lẫn,There was confusion about the meeting time.,noun,confusions,"uncertainty, bewilderment","clarity, certainty","create confusion, total confusion"
congratulate,Give (someone) one's good wishes when something special or pleasant has happened to them,chúc mừng,I congratulate you on your success.,"verb, noun","congratulates, congratulating, congratulated","praise, commend","criticize, blame","congratulate warmly, congratulate sincerely"
congratulation,An expression of praise for an achievement or good wishes on a special occasion,lời chúc mừng,Congratulations on your new job.,noun,congratulations,"praise, applause","criticism, blame","offer congratulations, congratulations card"
congress,A formal meeting or assembly of representatives for discussion and action on particular matters,đại hội,The congress will meet next week.,"noun, verb",congresses,"assembly, conference",none,"attend congress, annual congress"
connect,Bring together or into contact so that a real or notional link is established,kết nối,She connected the wires.,"verb, noun","connects, connecting, connected","link, join","disconnect, separate","connect to the internet, connect cables"
connected,Brought together or into contact so that a link is established,đã kết nối,The devices are connected.,"adjective, verb","connects, connecting, connected","linked, joined","disconnected, separate","closely connected, directly connected"
connection,A relationship in which a person or thing is linked or associated with something else,sự liên quan,There is a strong connection between diet and health.,"noun, verb",connections,"relationship, association","disconnection, separation","strong connection, internet connection"
conscious,Aware of and responding to one's surroundings,biết rõ,He was conscious during the procedure.,adjective,consciously,"aware, alert","unaware, unconscious","fully conscious, conscious effort"
consequence,A result or effect of an action or condition,kết quả,Her decision had serious consequences.,"noun, verb",consequences,"result, effect","cause, source","serious consequence, direct consequence"
conservative,Holding to traditional attitudes and values and cautious about change or innovation,thận trọng,He has conservative views.,"adjective, noun",conservatively,"traditional, cautious","progressive, liberal","conservative values, conservative approach"
consider,"Think carefully about (something), typically before making a decision",coi như,He is considering changing jobs.,"verb, noun","considers, considering, considered","think, contemplate","ignore, disregard","consider carefully, consider options"
considerable,"Notably large in size, amount, or extent",đáng kể,He made a considerable amount of money.,"adjective, noun",considerables,"significant, substantial","insignificant, minor","considerable effort, considerable time"
considerably,By a notably large amount or to a notably large extent; greatly,đáng kể,The project was considerably delayed.,adverb,considerably,"greatly, significantly","slightly, insignificantly","considerably different, considerably better"
consideration,"Careful thought, typically over a period of time",xem xét,She gave the proposal careful consideration.,noun,considerations,"thought, deliberation","disregard, neglect","take into consideration, careful consideration"
consist,Be composed or made up of,bao gồm,The committee consists of ten members.,"verb, noun","consists, consisting, consisted","be made up of, be composed of","exclude, eliminate","consist mainly of, consist entirely of"
consist of,Be composed or made up of,bao gồm,The meal consists of three courses.,phrasal verb,"consists of, consisting of, consisted of","be made up of, be composed of","exclude, eliminate","consist of parts, consist of elements"
constant,Occurring continuously over a period of time,không thay đổi,The constant noise was annoying.,"adjective, noun",constants,"continuous, perpetual","intermittent, occasional","constant pressure, constant change"
constantly,Continuously over a period of time; always,liên tục,She is constantly late.,adverb,constantly,"always, perpetually","rarely, infrequently","constantly changing, constantly moving"
construct,"Build or erect (something, typically a building, road, or machine)",xây dựng,They are constructing a new building.,"verb, noun","constructs, constructing, constructed","build, erect","destroy, demolish","construct a building, construct a theory"
construction,"The action of building something, typically a large structure",sự thi công,The construction of the bridge took two years.,"noun, verb",constructions,"building, erection","demolition, destruction","construction site, construction work"
consult,Seek information or advice from (someone with expertise in a particular area),tham khảo ý kiến,She consulted a lawyer.,"verb, noun","consults, consulting, consulted","seek advice, confer","ignore, neglect","consult a doctor, consult with"
consumer,A person who purchases goods and services for personal use,người tiêu dùng,Consumers are demanding more organic products.,"noun, verb",consumers,"buyer, customer","seller, provider","consumer behavior, consumer demand"
contact,The state or condition of physical touching,liên hệ,They had close contact during the negotiation.,"noun, verb","contacts, contacting, contacted","touch, connection","separation, distance","close contact, maintain contact"
contain,Have or hold (someone or something) within,bao gồm,The box contains old photos.,"verb, noun","contains, containing, contained","include, hold","exclude, omit","contain information, contain an item"
container,An object that can be used to hold or transport something,thùng chứa,She put the cookies in a container.,"noun, verb",containers,"receptacle, holder",none,"storage container, shipping container"
contemporary,Living or occurring at the same time,đồng thời,Contemporary artists often explore different media.,"adjective, noun",contemporaries,"modern, current","ancient, old","contemporary art, contemporary music"
content,In a state of peaceful happiness,nội dung,She was content with her life.,"adjective, noun",contents,"satisfied, pleased","discontent, unhappy","feel content, content smile"
contest,"An event in which people compete for supremacy in a sport, activity, or particular quality",cuộc thi,The contest was fierce and competitive.,"noun, verb","contests, contesting, contested","competition, challenge","cooperation, agreement","enter a contest, win a contest"
context,"The circumstances that form the setting for an event, statement, or idea, and in terms of which it can be fully understood and assessed",bối cảnh,You need to consider the context to understand the meaning.,"noun, adjective",contexts,"circumstances, background","isolation, separation","context of the situation, historical context"
continent,"Any of the world's main continuous expanses of land (Europe, Asia, Africa, North and South America, Australia, Antarctica)",lục địa,Africa is a continent.,"noun, adjective",continents,"landmass, territory","island, ocean","Asian continent, European continent"
continue,Persist in an activity or process,Tiếp tục,They continued their journey.,"verb, noun","continues, continuing, continued","persist, proceed","stop, discontinue","continue to work, continue with"
continuous,Forming an unbroken whole; without interruption,liên tục,The continuous noise was annoying.,"adjective, noun",continuously,"uninterrupted, constant","intermittent, sporadic","continuous improvement, continuous flow"
continuously,Without interruption or gaps,liên tục,He worked continuously without a break.,adverb,continuously,"constantly, perpetually","intermittently, sporadically","continuously work, continuously move"
contract,"A written or spoken agreement, especially one concerning employment, sales, or tenancy, that is intended to be enforceable by law",hợp đồng,They signed a new contract.,"noun, verb","contracts, contracting, contracted","agreement, deal","disagreement, dispute","sign a contract, breach a contract"
contrast,The state of being strikingly different from something else in juxtaposition or close association,sự tương phản,There is a stark contrast between the two styles.,"noun, verb","contrasts, contrasting, contrasted","difference, disparity","similarity, resemblance","sharp contrast, in contrast"
contrasting,Differing strikingly,tương phản,The artist used contrasting colors.,"adjective, verb","contrasts, contrasting, contrasted","differing, opposite","similar, alike","contrasting colors, contrasting views"
contribute,"Give (something, especially money) in order to help achieve or provide something",đóng góp,He contributed to the charity fund.,"verb, noun","contributes, contributing, contributed","donate, give","withdraw, take","contribute financially, contribute ideas"
contribution,A gift or payment to a common fund or collection,sự đóng góp,She made a significant contribution to the project.,"noun, verb",contributions,"donation, input","withdrawal, detract","financial contribution, make a contribution"
control,The power to influence or direct people's behavior or the course of events,điều khiển,The company has control over the market.,"noun, verb","controls, controlling, controlled","management, oversight","chaos, disorder","gain control, lose control"
controlled,Determined by someone in authority to be such,được kiểm soát,The experiment was controlled by scientists.,"adjective, verb",controls,"regulated, directed","uncontrolled, unmanaged","controlled environment, controlled conditions"
convenient,"Fitting in well with a person's needs, activities, and plans",thuận lợi,The location is convenient for shopping.,"adjective, noun",conveniently,"suitable, handy","inconvenient, unsuitable","convenient time, convenient location"
convention,"A way in which something is usually done, especially within a particular area or activity",quy ước,It is a long-standing convention.,"noun, verb",conventions,"custom, practice","disruption, deviation","social convention, political convention"
conventional,Based on or in accordance with what is generally done or believed,truyền thống,He has conventional views.,"adjective, noun",conventionally,"traditional, usual","unconventional, unusual","conventional method, conventional wisdom"
conversation,"A talk, especially an informal one, between two or more people, in which news and ideas are exchanged",cuộc hội thoại,They had a long conversation over dinner.,"noun, verb",conversations,"discussion, dialogue","monologue, silence","deep conversation, casual conversation"
convert,"Change the form, character, or function of something",chuyển thành,They converted the garage into a living space.,"verb, noun","converts, converting, converted","transform, change","keep, retain","convert to, convert into"
convince,Cause (someone) to believe firmly in the truth of something,thuyết phục,She convinced him to go on the trip.,"verb, noun","convinces, convincing, convinced","persuade, assure","dissuade, discourage","convince someone, convince completely"
cook,"Prepare (food, a dish, or a meal) by combining and heating the ingredients",đầu bếp,He cooked dinner for the family.,"verb, noun","cooks, cooking, cooked","prepare, make","burn, ruin","cook a meal, cook dinner"
cooker,A person employed to prepare food in a restaurant,nồi cơm điện,The cooker prepared a delicious meal.,noun,cookers,"chef, cook",none,"professional cooker, master cooker"
cookie,"A small flat, sweet cake",bánh quy,She baked a batch of cookies.,noun,cookies,"biscuit, treat",none,"chocolate chip cookie, cookie jar"
cooking,"The practice or skill of preparing food by combining, mixing, and heating ingredients",nấu ăn,He enjoys cooking for his friends.,"noun, verb",cookings,"culinary, food preparation",none,"home cooking, enjoy cooking"
cool,Of or at a fairly low temperature,mát mẻ,The weather is cool today.,"adjective, verb","cooler, coolest","chilly, cold","warm, hot","cool breeze, cool weather"
cool down,Become less hot,hạ nhiệt,The soup needs to cool down before serving.,phrasal verb,"cools down, cooling down, cooled down","cool off, cool","heat up, warm up","cool down quickly, cool down completely"
cope,Deal effectively with something difficult,đối phó,She coped well with the pressure.,"verb, noun","copes, coping, coped","manage, handle","struggle, fail","cope with stress, cope with problems"
copy,A thing made to be similar or identical to another,sao chép,He made a copy of the document.,"noun, verb","copies, copying, copied","replica, duplicate","original, unique","make a copy, exact copy"
core,The central or most important part of something,cốt lõi,The core of the problem is lack of communication.,"noun, verb",cores,"center, essence","periphery, exterior","core values, core issue"
corner,A place or angle where two or more sides or edges meet,góc,She sat in the corner of the room.,"noun, verb","corners, cornering, cornered","nook, angle","middle, center","corner of the room, street corner"
correct,Free from error; in accordance with fact or truth,Chính xác,He gave the correct answer.,"adjective, verb","corrects, correcting, corrected","right, accurate","wrong, incorrect","correct answer, correct spelling"
correctly,In a way that is free from error or in accordance with fact or truth,chính xác,She spelled the word correctly.,adverb,correctness,"rightly, accurately","incorrectly, wrongly","correctly spelled, correctly answered"
cost,An amount that has to be paid or spent to buy or obtain something,trị giá,The cost of living is rising.,"noun, verb","costs, costing, costed","price, expense","profit, gain","high cost, low cost"
cottage,"A small simple house, typically one near a lake or beach",ngôi nhà tranh,They rented a cottage by the lake.,"noun, verb",cottages,"cabin, hut","mansion, palace","country cottage, small cottage"
cotton,A soft white fibrous substance that surrounds the seeds of the cotton plant and is used as textile fiber and thread for sewing,bông,She wore a cotton dress.,"noun, adjective",cottons,"fiber, textile","synthetic, polyester","cotton fabric, cotton field"
cough,Expel air from the lungs with a sudden sharp sound,ho,He has a bad cough.,"verb, noun","coughs, coughing, coughed","hack, clear throat",none,"bad cough, persistent cough"
could,"Past form of can, used to indicate possibility",có thể,She said she could help.,"verb, noun",could,"might, would","cannot, won't","could be, could have"
council,"An advisory, deliberative, or legislative body of people formally constituted and meeting regularly",hội đồng,The city council meets every month.,"noun, verb",councils,"committee, assembly","individual, person","city council, council member"
count,Determine the total number of (a collection of items),đếm,He counted the money.,"verb, noun","counts, counting, counted","enumerate, tally","estimate, guess","count the votes, count the cost"
counter,A long flat-topped fixture in a store or bank across which business is conducted with customers,quầy tính tiền,She leaned on the counter.,"noun, verb","counters, countering, countered","worktop, table",none,"store counter, kitchen counter"
count on,Rely on,tin tưởng vào,You can count on me.,phrasal verb,"counts on, counting on, counted on","depend on, rely","doubt, mistrust","count on support, count on assistance"
country,"A nation with its own government, occupying a particular territory",quốc gia,France is a beautiful country.,"noun, verb",countries,"nation, state","city, metropolis","foreign country, home country"
countryside,The land and scenery of a rural area,nông thôn,They live in the countryside.,"noun, verb",countrysides,"rural area, farmland","urban area, cityscape","beautiful countryside, peaceful countryside"
county,"A territorial division of some countries, forming the chief unit of local administration",quận,"The county has a population of 500,000.","noun, verb",counties,"district, region",none,"county fair, county council"
couple,Two individuals of the same sort considered together,cặp đôi,A young couple moved in next door.,"noun, verb","couples, coupling, coupled","pair, duo","individual, single","married couple, happy couple"
courage,The ability to do something that frightens one; bravery,lòng can đảm,She showed great courage during the crisis.,"noun, verb",courageous,"bravery, valor","fear, cowardice","show courage, great courage"
course,"The route or direction followed by a ship, aircraft, road, or river",khóa học,The ship changed course.,"noun, verb",courses,"path, direction",none,"course of action, golf course"
court,"A tribunal presided over by a judge, judges, or a magistrate in civil and criminal cases",tòa án,The court found him guilty.,"noun, verb","courts, courting, courted","tribunal, judiciary",none,"high court, court case"
cousin,A child of one's uncle or aunt,anh em họ,She visited her cousin last summer.,noun,cousins,"relative, kin",none,"first cousin, second cousin"
cover,Put something such as a cloth or lid on top of or in front of (something) in order to protect or conceal it,che phủ,He covered the pot with a lid.,"verb, noun","covers, covering, covered","hide, conceal","uncover, reveal","cover the table, cover with a cloth"
covered,Having a covering,che phủ,The car was covered in snow.,"adjective, verb","covers, covering, covered","sheltered, concealed","bare, exposed","covered bridge, covered with snow"
covering,The action or fact of covering something,che phủ,The covering on the book was torn.,"noun, verb",coverings,"coating, layer","exposure, revelation","plastic covering, book covering"
cover up,Conceal something illicit or damaging,che đậy,They tried to cover up the scandal.,phrasal verb,"covers up, covering up, covered up","conceal, hide","reveal, uncover","cover up a mistake, cover up tracks"
cow,"A fully grown female animal of a domesticated breed of ox, kept to produce milk or beef",con bò,The cow grazed in the field.,"noun, verb",cows,"bovine, heifer","bull, steer","dairy cow, cow milk"
crack,A line on the surface of something along which it has split without breaking apart,nứt,There was a crack in the vase.,"noun, verb","cracks, cracking, cracked","split, fracture",none,"hairline crack, crack in the wall"
cracked,Damaged and showing lines on the surface from having split without coming apart,nứt,The mirror was cracked.,"adjective, verb","cracks, cracking, cracked","fractured, broken","unbroken, intact","cracked mirror, cracked window"
craft,An activity involving skill in making things by hand,thủ công,She enjoys various crafts like knitting and pottery.,"noun, verb","crafts, crafting, crafted","skill, trade","clumsiness, ineptitude","craft fair, craft skills"
crash,"A violent collision, typically of one vehicle with another or an object",tai nạn,The car crashed into a tree.,"verb, noun","crashes, crashing, crashed","collision, accident","avoid, miss","car crash, plane crash"
crazy,"Mentally deranged, especially as manifested in a wild or aggressive way",điên,He went crazy after losing his job.,"adjective, noun","crazier, craziest","insane, mad","sane, rational","go crazy, drive someone crazy"
cream,The thick white or pale yellow fatty liquid which rises to the top when milk is left to stand and which can be skimmed off and used in cooking,kem,She added cream to her coffee.,"noun, verb","creams, creaming, creamed","dairy product, froth",none,"whipped cream, heavy cream"
create,Bring (something) into existence,tạo nên,The artist created a beautiful painting.,"verb, noun","creates, creating, created","generate, produce","destroy, ruin","create art, create opportunities"
creature,"An animal, as distinct from a human being",sinh vật,A strange creature was seen in the forest.,noun,creatures,"being, life form","human, person","mythical creature, sea creature"
credit,"The ability of a customer to obtain goods or services before payment, based on the trust that payment will be made in the future",tín dụng,She has good credit and can easily get loans.,"noun, verb","credits, crediting, credited","loan, trust","debt, deficit","good credit, credit score"
credit card,"A small plastic card issued by a bank, business, etc., allowing the holder to purchase goods or services on credit",thẻ tín dụng,He paid for the dinner with his credit card.,noun,credit cards,"charge card, plastic money",debit card,"use a credit card, apply for a credit card"
crime,An action or omission that constitutes an offense that may be prosecuted by the state and is punishable by law,tội phạm,The city has a low crime rate.,"noun, verb",crimes,"offense, felony","innocence, legality","commit a crime, crime rate"
criminal,A person who has committed a crime,tội phạm,The criminal was arrested by the police.,"noun, adjective",criminals,"offender, lawbreaker","law-abiding citizen, innocent","hardened criminal, career criminal"
crisis,"A time of intense difficulty, trouble, or danger",khủng hoảng,The company is facing a financial crisis.,"noun, verb",crises,"emergency, catastrophe","stability, calm","economic crisis, health crisis"
crisp,"Firm, dry, and brittle, especially in a way considered pleasing or attractive",giòn,The apple was crisp and delicious.,"adjective, noun","crisps, crisping, crisped","crunchy, brittle","soft, soggy","crisp apple, crisp air"
criterion,A principle or standard by which something may be judged or decided,tiêu chí,The main criterion for admission is academic performance.,noun,criteria,"standard, benchmark",none,"meet the criterion, main criterion"
critical,Expressing adverse or disapproving comments or judgments,phê bình,He was critical of the new policy.,"adjective, noun",critically,"judgmental, disapproving","praising, approving","critical view, critical issue"
criticism,The expression of disapproval of someone or something based on perceived faults or mistakes,chỉ trích,She received a lot of criticism for her book.,noun,criticisms,"disapproval, critique","praise, approval","constructive criticism, harsh criticism"
criticize,Indicate the faults of (someone or something) in a disapproving way,chỉ trích,They criticized the government's handling of the crisis.,"verb, noun","criticizes, criticizing, criticized","find fault with, condemn","praise, commend","criticize openly, criticize harshly"
crop,"A cultivated plant that is grown as food, especially a grain, fruit, or vegetable",mùa vụ,The farmer grows various crops.,"noun, verb","crops, cropping, cropped","produce, yield","weed, pest","cash crop, food crop"
cross,"Go or extend across or to the other side of (a path, road, stretch of water, or area)",đi qua,They crossed the street.,"verb, noun","crosses, crossing, crossed","traverse, pass over","follow, stay","cross the bridge, cross the road"
cross out,Draw a line through (something written) so as to make it no longer readable,gạch bỏ,He crossed out the incorrect information.,phrasal verb,"crosses out, crossing out, crossed out","strike through, delete","underline, highlight","cross out a word, cross out a mistake"
crowd,A large number of people gathered together in a disorganized or unruly way,đám đông,The crowd gathered in the square.,"noun, verb","crowds, crowding, crowded","throng, horde","solitude, emptiness","large crowd, control the crowd"
crowded,Having a large number of people in a small area,đông đúc,The bus was very crowded.,"adjective, verb","crowds, crowding, crowded","packed, congested","spacious, empty","crowded room, crowded street"
crown,"A circular ornamental headdress worn by a monarch as a symbol of authority, usually made of or decorated with precious metals and jewels",vương miện,The king wore a golden crown.,"noun, verb","crowns, crowning, crowned","diadem, coronet",none,"golden crown, royal crown"
crucial,"Decisive or critical, especially in the success or failure of something",chủ yếu,This is a crucial moment in our history.,"adjective, noun",crucially,"essential, vital","trivial, unimportant","crucial decision, crucial factor"
cruel,"Wilfully causing pain or suffering to others, or feeling no concern about it",tàn nhẫn,He was cruel to the animals.,"adjective, noun",cruelly,"heartless, brutal","kind, compassionate","cruel treatment, cruel person"
crush,"Deform, pulverize, or force inwards by compressing forcefully",người mình thích,She crushed the can with her foot.,"verb, noun","crushes, crushing, crushed","squeeze, squash","release, free","crush a can, crush a bug"
cry,"Shed tears, typically as an expression of distress, pain, or sorrow",khóc,The baby started to cry.,"verb, noun","cries, crying, cried","weep, sob","laugh, smile","cry loudly, cry softly"
cry out,"Shout or scream, especially to express strong emotion or pain",kêu lên,She cried out in pain.,phrasal verb,"cries out, crying out, cried out","scream, yell","whisper, murmur","cry out for help, cry out in pain"
cultural,"Relating to the ideas, customs, and social behavior of a society",thuộc văn hóa,There are many cultural differences between the two countries.,"adjective, noun",culturally,"ethnic, societal",none,"cultural heritage, cultural event"
culture,The arts and other manifestations of human intellectual achievement regarded collectively,văn hoá,The museum has an extensive collection of art and culture.,"noun, verb",cultures,"civilization, heritage","barbarism, ignorance","rich culture, popular culture"
cup,"A small bowl-shaped container for drinking from, typically having a handle",tách,She drank a cup of tea.,"noun, verb",cups,"mug, goblet","bowl, dish","cup of tea, coffee cup"
cupboard,"A cabinet or small recess with a door and typically shelves, used for storage",cái tủ,The plates are in the cupboard.,"noun, verb",cupboards,"cabinet, closet","open shelf, table","kitchen cupboard, storage cupboard"
cure,Relieve (a person or animal) of the symptoms of a disease or condition,sự chữa bệnh,The doctor was able to cure the disease.,"verb, noun","cures, curing, cured","heal, remedy","ail, sicken","cure a disease, cure an illness"
curious,Eager to know or learn something,tò mò,She was curious about the new neighbors.,"adjective, noun",curiously,"inquisitive, interested","indifferent, uninterested","curious mind, curious nature"
curiously,In a manner showing eager interest or wanting to know,tò mò,He looked at the object curiously.,adverb,curiosity,"inquiringly, interestedly","indifferently, uninterestedly","curiously observe, curiously examine"
curl,Form or cause to form into a curved or spiral shape,cuộn tròn,She curled her hair for the party.,"verb, noun","curls, curling, curled","coil, twist","straighten, flatten","curl hair, curl ribbon"
curl up,Sit or lie with the knees drawn up,cuộn tròn,He curled up on the sofa.,phrasal verb,"curls up, curling up, curled up","snuggle, nestle","straighten up, unfold","curl up in bed, curl up on the couch"
curly,"Having a twisted, ring, or spiral shape",quăn,She has curly hair.,"adjective, noun","curlier, curliest","wavy, ringlet","straight, flat","curly hair, curly fries"
current,Belonging to the present time; happening or being used or done now,hiện hành,The current situation is difficult.,"adjective, noun",currently,"present, modern","past, old","current events, current year"
currently,At the present time,Hiện nay,He is currently working on a new project.,adverb,current,"presently, now","formerly, previously","currently available, currently studying"
curtain,"A piece of material suspended at the top to form a screen, typically movable sideways along a rail and found as one of a pair at a window",tấm màn,She opened the curtains to let in some light.,"noun, verb",curtains,"drape, screen","open space, bare window","draw the curtain, stage curtain"
curve,A line or outline which gradually deviates from being straight for some or all of its length,đường cong,The road curves around the hill.,"noun, verb","curves, curving, curved","bend, arc","straight line, linear","gentle curve, sharp curve"
curved,Having a round or smoothly bending shape,cong,The path was curved.,"adjective, verb","curves, curving, curved","arched, rounded","straight, linear","curved road, curved line"
custom,"A traditional and widely accepted way of behaving or doing something that is specific to a particular society, place, or time",phong tục,It is a custom to shake hands when meeting someone.,"noun, verb",customs,"tradition, practice","innovation, deviation","local custom, traditional custom"
customer,A person who buys goods or services from a shop or business,khách hàng,The store values each customer.,noun,customers,"client, shopper","vendor, seller","regular customer, loyal customer"
customs,The official department that administers and collects the duties levied by a government on imported goods,hải quan,The customs office is at the airport.,noun,customs,"border control, import tax",none,"customs officer, customs duty"
cut,"Make an opening, incision, or wound in (something) with a sharp-edged tool or object",cắt,He cut the rope with a knife.,"verb, noun","cuts, cutting, cut","slice, chop","mend, repair","cut paper, cut hair"
cut back,Reduce the amount or quantity of,cắt giảm,They need to cut back on spending.,phrasal verb,"cuts back, cutting back, cut back","reduce, decrease","increase, expand","cut back on expenses, cut back on work"
cut down,Cause to fall by cutting,cắt giảm,They cut down the old tree.,phrasal verb,"cuts down, cutting down, cut down","fell, chop down","plant, grow","cut down a tree, cut down expenses"
cut off,Remove something by or as if by cutting,cắt đứt,The water supply was cut off.,phrasal verb,"cuts off, cutting off, cut off","sever, detach","attach, connect","cut off the flow, cut off communication"
cut out,"Remove, exclude, or stop doing something",cắt ra,He cut out the article from the newspaper.,phrasal verb,"cuts out, cutting out, cut out","remove, eliminate","include, add","cut out sugar, cut out the middleman"
cut up,Cut something into smaller pieces,cắt nhỏ,She cut up the vegetables.,phrasal verb,"cuts up, cutting up, cut up","chop, dice","assemble, combine","cut up the meat, cut up the fabric"
cycle,A series of events that are regularly repeated in the same order,xe đạp,The water cycle is an important natural process.,"noun, verb","cycles, cycling, cycled","sequence, series","disorder, chaos","water cycle, life cycle"
daily,"Happening, done, or produced every day",hằng ngày,She reads the daily newspaper.,"adjective, noun",dailies,"everyday, regular","occasional, rare","daily routine, daily life"
damage,"Physical harm that impairs the value, usefulness, or normal function of something",hư hại,The storm caused damage to the roof.,"noun, verb","damages, damaging, damaged","harm, injury","repair, fix","severe damage, damage control"
damp,Slightly wet,ẩm ướt,The ground was damp after the rain.,"adjective, noun","damps, damping, damped","moist, humid","dry, arid","damp cloth, damp weather"
dance,"Move rhythmically to music, typically following a set sequence of steps",nhảy,They danced all night.,"verb, noun","dances, dancing, danced","move, sway","stand still, freeze","dance floor, dance steps"
dancer,A person who dances or whose profession is dancing,vũ công,The dancer performed beautifully.,"noun, verb",dancers,"performer, ballet dancer","spectator, viewer","professional dancer, ballet dancer"
dancing,The activity of dancing for pleasure or as a profession,khiêu vũ,Dancing is her passion.,"noun, adjective",dancings,"ballet, movement","stillness, inactivity","dancing shoes, dancing skills"
danger,The possibility of suffering harm or injury,sự nguy hiểm,There is a danger of falling rocks.,"noun, verb",dangers,"risk, hazard","safety, security","in danger, pose a danger"
dangerous,Able or likely to cause harm or injury,nguy hiểm,It's dangerous to swim here.,"adjective, noun",dangerously,"risky, hazardous","safe, secure","dangerous situation, dangerous place"
dare,Have the courage to do something,dám,He dared to climb the mountain.,"verb, noun","dares, daring, dared","brave, challenge","fear, shun","dare to dream, dare to speak"
dark,With little or no light,tối tăm,The room was dark and quiet.,"adjective, noun","darker, darkest","dim, black","bright, light","dark room, dark night"
data,Facts and statistics collected together for reference or analysis,dữ liệu,They collected data for the research project.,noun,data,"information, statistics",none,"data analysis, data collection"
date,The day of the month or year as specified by a number,ngày,Today's date is July 10th.,"noun, verb","dates, dating, dated","day, appointment",none,"expiration date, due date"
date back,Exist since a particular time in the past,ngày trở lại,This building dates back to the 19th century.,phrasal verb,"dates back to, dating back to, dated back to","go back, originate",none,"date back to, date from"
daughter,A female child in relation to her parents,con gái,They have a daughter and a son.,"noun, verb",daughters,"girl, child","son, boy","eldest daughter, only daughter"
day,A period of 24 hours as a unit of time,ngày,It was a sunny day.,"noun, verb",days,"24 hours, daytime","night, evening","day and night, day off"
dead,No longer alive,chết,The plant is dead.,"adjective, noun","deader, deadest","deceased, lifeless","alive, living","dead body, dead end"
deaf,Lacking the power of hearing or having impaired hearing,điếc,He was born deaf.,"adjective, noun","deafer, deafest","hearing-impaired, unhearing","hearing, sound","deaf ear, born deaf"
deal,Distribute (cards) in an orderly rotation to the players for a game or round,thỏa thuận,He dealt the cards to the players.,"verb, noun","deals, dealing, dealt","distribute, arrange","collect, gather","deal cards, deal with"
deal in,Buy and sell (a particular product),thỏa thuận,They deal in antiques.,phrasal verb,"deals in, dealing in, dealt in","trade, sell",none,"deal in goods, deal in services"
deal with,"Take measures concerning (someone or something), especially with the intention of putting something right",đối phó với,She deals with customer complaints.,phrasal verb,"deals with, dealing with, dealt with","manage, handle","ignore, neglect","deal with problems, deal with issues"
dear,Regarded with deep affection,Thân mến,She is a dear friend.,"adjective, noun","dearer, dearest","beloved, cherished","unloved, indifferent","dear friend, my dear"
death,The end of the life of a person or organism,cái chết,The sudden death of her father affected her deeply.,"noun, adjective",deaths,"demise, passing","birth, life","sudden death, cause of death"
debate,"A formal discussion on a particular matter in a public meeting or legislative assembly, in which opposing arguments are put forward",tranh luận,They had a debate about the new policy.,"noun, verb","debates, debating, debated","discussion, argument","agreement, accord","public debate, debate over"
debt,"Something, typically money, that is owed or due",món nợ,He is trying to pay off his debts.,"noun, verb",debts,"liability, arrears","credit, asset","pay off debt, in debt"
decade,A period of ten years,thập kỷ,He has been working here for a decade.,"noun, verb",decades,"ten years, 10-year period",none,"past decade, over a decade"
